1 1:-0.621545 2:-0.652709 3:-0.612921 4:-0.707525 5:-0.656249 6:-0.475636 7:-0.734744 8:-0.238437 9:-0.717916 10:-0.142567 11:-0.423015 12:-0.344612 13:-0.235422 14:-0.542139 15:-0.400061 16:-0.581272 17:-0.624277 18:-0.532968 19:-0.2619 20:-0.119881 
1 1:-0.589783 2:-0.742385 3:-0.590378 4:-0.866073 5:-0.533619 6:-0.389342 7:-0.564215 8:-0.0778975 9:-0.603907 10:-0.169888 11:0.053075 12:-0.393443 13:-0.0897797 14:-0.52957 15:-0.290104 16:-0.606385 17:-0.588593 18:-0.524899 19:0.0968532 20:0.436346 
1 1:-0.574215 2:-0.899415 3:-0.613785 4:-0.759672 5:-0.675114 6:-0.350445 7:-0.564578 8:-0.110757 9:-0.512223 10:-0.0646583 11:0.099442 12:-0.440805 13:-0.106449 14:-0.532168 15:-0.300232 16:-0.571229 17:-0.478881 18:-0.519564 19:-0.0361513 20:0.243777 
1 1:-0.836422 2:-0.587211 3:-0.853458 4:-0.457082 5:-0.424444 6:-0.526341 7:-0.314386 8:-0.506067 9:-0.443424 10:-0.49971 11:-0.186845 12:-0.0359849 13:-0.166564 14:-0.354598 15:-0.481874 16:-0.285186 17:-0.647451 18:-0.178464 19:0.0671008 20:0.144264 
1 1:-0.809923 2:-0.871137 3:-0.578679 4:-0.86731 5:-0.755537 6:-0.615913 7:-0.699444 8:-0.58051 9:-1 10:-1 11:-1 12:-1 13:-1 14:-1 15:-0.523904 16:-0.536023 17:-1 18:-1 19:-0.299201 20:-0.554938 
1 1:-0.79078 2:-0.628853 3:-0.77137 4:-0.500442 5:-0.519298 6:-0.563118 7:-0.302207 8:-0.452684 9:-0.440808 10:-0.455327 11:-0.0996173 12:-0.0626043 13:-0.168526 14:-0.293728 15:-0.331865 16:-0.273183 17:-0.516893 18:-0.145401 19:-0.0466408 20:0.11665 
1 1:-0.648007 2:-0.593841 3:-0.69537 4:-0.589868 5:-0.565976 6:-0.494593 7:-0.320162 8:-0.315023 9:-0.513413 10:-0.338691 11:-0.219261 12:-0.320084 13:0.0427639 14:-0.146916 15:-0.078367 16:-0.210791 17:-0.530177 18:-0.121843 19:0.112314 20:0.160566 
1 1:-0.757978 2:-0.635762 3:-0.70955 4:-0.555832 5:-0.411373 6:-0.51005 7:-0.479315 8:-0.697147 9:-0.577503 10:-0.482835 11:-0.32875 12:-0.272766 13:-0.338673 14:0.0158716 15:-0.260244 16:0.0743185 17:-0.453255 18:-0.119286 19:-0.175818 20:0.0957039 
1 1:-1 2:-1 3:-0.611495 4:-0.74352 5:-1 6:-1 7:-0.642832 8:-0.732896 9:-1 10:-1 11:-1 12:-1 13:-1 14:-1 15:-0.534236 16:-0.608814 17:-1 18:-1 19:-0.395849 20:-0.454235 
1 1:-0.578455 2:-0.726975 3:-0.630223 4:-0.47688 5:-0.638142 6:-0.253876 7:-0.584225 8:-0.0258411 9:-0.474772 10:-0.161362 11:-0.137668 12:-0.415016 13:0.135456 14:-0.451254 15:-0.0481053 16:-0.385722 17:-0.399095 18:-0.303477 19:-0.0405847 20:0.274884 
1 1:-1 2:-1 3:-0.588142 4:-0.625424 5:-1 6:-1 7:-0.750348 8:-0.630267 9:-1 10:-1 11:-1 12:-1 13:-1 14:-1 15:-0.252787 16:-0.299439 17:-1 18:-1 19:-0.375619 20:-0.455546 
1 1:-0.696367 2:-0.665624 3:-0.776992 4:-0.588221 5:-0.728354 6:-0.292138 7:-0.697779 8:-0.613127 9:-0.518854 10:-0.508774 11:-0.506593 12:-0.309838 13:-0.22538 14:-0.728791 15:-0.190156 16:-0.733221 17:-0.4475 18:-0.755408 19:-0.114006 20:0.0868551 
1 1:-0.684884 2:-0.674239 3:-0.63143 4:-0.706874 5:-0.579792 6:-0.715383 7:-0.595504 8:-0.606427 9:-0.642896 10:-0.314675 11:-0.45778 12:-0.401868 13:-0.823903 14:-0.25678 15:-0.863285 16:-0.0711516 17:-0.78858 18:-0.333674 19:-0.341431 20:-0.172597 
1 1:-0.637995 2:-0.779372 3:-0.659324 4:-0.642588 5:-0.681031 6:-0.572949 7:-0.616436 8:-0.69024 9:-0.467129 10:-0.626821 11:-0.2422 12:-0.544673 13:0.0980611 14:-0.458833 15:-0.0506453 16:-0.664976 17:-0.68546 18:-0.299118 19:0.0898602 20:-0.219539 
1 1:-0.765636 2:-0.678346 3:-0.71902 4:-0.648051 5:-0.604177 6:-0.691637 7:-0.496231 8:-0.51929 9:-0.654048 10:-0.318095 11:-0.606015 12:-0.448617 13:-0.815308 14:-0.264504 15:-0.906087 16:-0.684577 17:-0.793851 18:-0.329845 19:-0.26743 20:-0.172546 
1 1:-0.753577 2:-0.850609 3:-0.624496 4:-0.806849 5:-1 6:-1 7:-0.786326 8:-0.807661 9:-0.860181 10:-0.571948 11:-0.887164 12:-0.909171 13:-1 14:-1 15:-0.289896 16:-0.30251 17:-1 18:-1 19:-0.312668 20:-0.398037 
1 1:-0.602769 2:-0.773364 3:-0.77388 4:-0.621684 5:-0.695957 6:-0.624894 7:-0.62971 8:-0.580816 9:-0.519095 10:-0.630737 11:-0.23094 12:-0.429468 13:0.146525 14:-0.371084 15:-0.693055 16:-0.725791 17:-0.370748 18:-0.347216 19:-0.124338 20:-0.383504 
