1 1:0.234103 2:0.20378 3:0.272347 4:0.145023 5:0.2372 6:0.303654 7:0.175093 8:0.423292 9:0.194288 10:0.477157 11:0.342256 12:0.363747 13:0.443436 14:0.284064 15:0.406255 16:0.244081 17:0.257436 18:0.236136 19:0.490803 20:0.517796
1 1:0.25375 2:0.151161 3:0.288208 4:0.0664073 5:0.321819 6:0.353626 7:0.287657 8:0.512523 9:0.272813 10:0.461953 11:0.624663 12:0.336645 13:0.527905 14:0.291862 15:0.480713 16:0.229442 17:0.281886 18:0.240216 19:0.729358 20:0.845038
1 1:0.26338 2:0.0590205 3:0.271739 4:0.119166 5:0.224183 6:0.376151 7:0.287418 8:0.494259 9:0.335961 10:0.520513 11:0.652167 12:0.310359 13:0.518237 14:0.29025 15:0.473855 16:0.249935 17:0.357058 18:0.242913 19:0.640916 20:0.731745
1 1:0.101185 2:0.242212 3:0.103106 4:0.269205 5:0.397154 6:0.274291 7:0.452567 8:0.274538 9:0.383347 10:0.278409 11:0.482347 12:0.535038 13:0.483372 14:0.400417 15:0.350854 16:0.416672 17:0.241558 18:0.415377 19:0.709574 20:0.673199
1 1:0.117577 2:0.0756128 3:0.296439 4:0.0657942 5:0.168688 6:0.222421 7:0.198394 8:0.233161 9:0 10:0 11:0 12:0 13:0 14:0 15:0.322393 16:0.270457 17:0 18:0 19:0.466 20:0.261841
1 1:0.129418 2:0.217778 3:0.160863 4:0.247705 5:0.331701 6:0.252994 7:0.460606 8:0.304209 9:0.385149 10:0.303108 11:0.534089 12:0.520264 13:0.482234 14:0.438182 15:0.452434 16:0.423669 17:0.331013 18:0.432094 19:0.633941 20:0.656953
1 1:0.217734 2:0.238322 3:0.214336 4:0.203363 5:0.299492 6:0.292676 7:0.448754 8:0.380724 9:0.335142 10:0.368015 11:0.463119 12:0.37736 13:0.604777 14:0.529266 15:0.624093 16:0.460038 17:0.321911 18:0.444005 19:0.739639 20:0.68279
1 1:0.149709 2:0.213724 3:0.204359 4:0.22024 5:0.406173 6:0.283725 7:0.343699 8:0.168332 9:0.290999 10:0.2878 11:0.398172 12:0.403622 13:0.383553 14:0.630262 15:0.500933 16:0.626231 17:0.374616 18:0.445298 19:0.548044 20:0.64463
1 1:0 2:0 3:0.27335 4:0.127175 5:0 6:0 7:0.235763 8:0.148462 9:0 10:0 11:0 12:0 13:0 14:0 15:0.315397 16:0.228026 17:0 18:0 19:0.401733 20:0.321087
1 1:0.260757 2:0.160203 3:0.260173 4:0.259388 5:0.249695 6:0.432073 7:0.274449 8:0.541457 9:0.361756 10:0.466698 11:0.511518 12:0.324672 13:0.658536 14:0.34045 15:0.644585 16:0.358069 17:0.411725 18:0.352169 19:0.637968 20:0.750046
1 1:0 2:0 3:0.289781 4:0.185733 5:0 6:0 7:0.164793 8:0.205505 9:0 10:0 11:0 12:0 13:0 14:0 15:0.505983 16:0.408364 17:0 18:0 19:0.415185 20:0.320316
1 1:0.18782 2:0.196202 3:0.156907 4:0.20418 5:0.187445 6:0.409916 7:0.199493 8:0.215032 9:0.331394 10:0.273365 11:0.292679 12:0.383047 13:0.44926 14:0.168262 15:0.548394 16:0.155508 17:0.378559 18:0.123668 19:0.589146 20:0.639424
1 1:0.194923 2:0.191147 3:0.259324 4:0.145346 5:0.289958 6:0.164819 7:0.267004 8:0.218756 9:0.245959 10:0.38138 11:0.321634 12:0.331969 13:0.102132 14:0.461105 15:0.0925776 16:0.541435 17:0.14486 18:0.336901 19:0.437919 20:0.486782
1 1:0.223927 2:0.129458 3:0.239698 4:0.177222 5:0.2201 6:0.247301 7:0.253187 8:0.172171 9:0.36702 10:0.207672 11:0.449512 12:0.252711 13:0.636848 14:0.335748 15:0.642865 16:0.195289 17:0.215515 18:0.354373 19:0.724708 20:0.459165
1 1:0.144972 2:0.188737 3:0.197696 4:0.174513 5:0.273132 6:0.17857 7:0.332533 8:0.267188 9:0.238278 10:0.379477 11:0.233704 12:0.306023 13:0.107117 14:0.456313 15:0.063594 16:0.183863 17:0.141248 18:0.338837 19:0.487126 20:0.486812
1 1:0.152431 2:0.0876581 3:0.264203 4:0.0957735 5:0 6:0 7:0.141044 8:0.106906 9:0.0963017 10:0.238209 11:0.0669321 12:0.0504111 13:0 14:0 15:0.480854 16:0.406574 17:0 18:0 19:0.457045 20:0.35415
